CustomerID,Lookalikes
C0001,"[('C0190', 0.99), ('C0048', 0.9819), ('C0091', 0.949)]"
C0002,"[('C0088', 0.926), ('C0092', 0.9005), ('C0134', 0.8971)]"
C0003,"[('C0031', 0.9758), ('C0052', 0.9668), ('C0025', 0.9463)]"
C0004,"[('C0155', 0.9801), ('C0087', 0.9352), ('C0165', 0.8999)]"
C0005,"[('C0186', 0.9979), ('C0007', 0.9902), ('C0140', 0.981)]"
C0006,"[('C0168', 0.9693), ('C0187', 0.9045), ('C0011', 0.8961)]"
C0007,"[('C0005', 0.9902), ('C0115', 0.9881), ('C0186', 0.979)]"
C0008,"[('C0109', 0.9165), ('C0065', 0.9024), ('C0139', 0.8633)]"
C0009,"[('C0198', 0.9794), ('C0062', 0.9657), ('C0061', 0.9636)]"
C0010,"[('C0009', 0.9621), ('C0061', 0.9417), ('C0111', 0.9298)]"
C0011,"[('C0137', 0.9883), ('C0191', 0.9609), ('C0187', 0.9506)]"
C0012,"[('C0113', 0.9585), ('C0104', 0.9423), ('C0163', 0.9336)]"
C0013,"[('C0099', 0.9873), ('C0108', 0.9694), ('C0141', 0.8542)]"
C0014,"[('C0060', 0.9995), ('C0089', 0.9413), ('C0097', 0.9158)]"
C0015,"[('C0036', 0.9817), ('C0131', 0.9806), ('C0094', 0.8884)]"
C0016,"[('C0183', 1.0), ('C0067', 0.9098), ('C0030', 0.879)]"
C0017,"[('C0075', 0.9847), ('C0041', 0.9194), ('C0057', 0.885)]"
C0018,"[('C0117', 0.8797), ('C0046', 0.7979), ('C0122', 0.7863)]"
C0019,"[('C0081', 0.9024), ('C0064', 0.722), ('C0057', 0.7141)]"
C0020,"[('C0130', 0.9078), ('C0058', 0.9074), ('C0033', 0.9059)]"
